Class      | Recall  | Precision | F1 Score | Accuracy
-------------------------------------------------------
Epoch 1
EOS        | 0.8460 | 0.8427 | 0.8430 | 0.8460
FGC        | 0.8460 | 0.8427 | 0.8430 | 0.8460
HAC        | 0.8460 | 0.8427 | 0.8430 | 0.8460
KSC        | 0.8460 | 0.8427 | 0.8430 | 0.8460
LYI        | 0.8460 | 0.8427 | 0.8430 | 0.8460
LYT        | 0.8460 | 0.8427 | 0.8430 | 0.8460
MMZ        | 0.8460 | 0.8427 | 0.8430 | 0.8460
MON        | 0.8460 | 0.8427 | 0.8430 | 0.8460
MYB        | 0.8460 | 0.8427 | 0.8430 | 0.8460
NGB        | 0.8460 | 0.8427 | 0.8430 | 0.8460
NGS        | 0.8460 | 0.8427 | 0.8430 | 0.8460
NIF        | 0.8460 | 0.8427 | 0.8430 | 0.8460
OTH        | 0.8460 | 0.8427 | 0.8430 | 0.8460
PEB        | 0.8460 | 0.8427 | 0.8430 | 0.8460
PLM        | 0.8460 | 0.8427 | 0.8430 | 0.8460
PMO        | 0.8460 | 0.8427 | 0.8430 | 0.8460

Epoch 22
ABE        | 0.8437 | 0.8412 | 0.8407 | 0.8437
ART        | 0.8437 | 0.8412 | 0.8407 | 0.8437
BAS        | 0.8437 | 0.8412 | 0.8407 | 0.8437
BLA        | 0.8437 | 0.8412 | 0.8407 | 0.8437
EBO        | 0.8437 | 0.8412 | 0.8407 | 0.8437
EOS        | 0.8437 | 0.8412 | 0.8407 | 0.8437
FGC        | 0.8437 | 0.8412 | 0.8407 | 0.8437
HAC        | 0.8437 | 0.8412 | 0.8407 | 0.8437
KSC        | 0.8437 | 0.8412 | 0.8407 | 0.8437
LYI        | 0.8437 | 0.8412 | 0.8407 | 0.8437
LYT        | 0.8437 | 0.8412 | 0.8407 | 0.8437
MMZ        | 0.8437 | 0.8412 | 0.8407 | 0.8437
MON        | 0.8437 | 0.8412 | 0.8407 | 0.8437
MYB        | 0.8437 | 0.8412 | 0.8407 | 0.8437
NGB        | 0.8437 | 0.8412 | 0.8407 | 0.8437
NGS        | 0.8437 | 0.8412 | 0.8407 | 0.8437
NIF        | 0.8437 | 0.8412 | 0.8407 | 0.8437
OTH        | 0.8437 | 0.8412 | 0.8407 | 0.8437
PEB        | 0.8437 | 0.8412 | 0.8407 | 0.8437
PLM        | 0.8437 | 0.8412 | 0.8407 | 0.8437
PMO        | 0.8437 | 0.8412 | 0.8407 | 0.8437

Epoch 23
ABE        | 0.8490 | 0.8495 | 0.8479 | 0.8490
ART        | 0.8490 | 0.8495 | 0.8479 | 0.8490
BAS        | 0.8490 | 0.8495 | 0.8479 | 0.8490
BLA        | 0.8490 | 0.8495 | 0.8479 | 0.8490
EBO        | 0.8490 | 0.8495 | 0.8479 | 0.8490
EOS        | 0.8490 | 0.8495 | 0.8479 | 0.8490
FGC        | 0.8490 | 0.8495 | 0.8479 | 0.8490
HAC        | 0.8490 | 0.8495 | 0.8479 | 0.8490
KSC        | 0.8490 | 0.8495 | 0.8479 | 0.8490
LYI        | 0.8490 | 0.8495 | 0.8479 | 0.8490
LYT        | 0.8490 | 0.8495 | 0.8479 | 0.8490
MMZ        | 0.8490 | 0.8495 | 0.8479 | 0.8490
MON        | 0.8490 | 0.8495 | 0.8479 | 0.8490
MYB        | 0.8490 | 0.8495 | 0.8479 | 0.8490
NGB        | 0.8490 | 0.8495 | 0.8479 | 0.8490
NGS        | 0.8490 | 0.8495 | 0.8479 | 0.8490
NIF        | 0.8490 | 0.8495 | 0.8479 | 0.8490
OTH        | 0.8490 | 0.8495 | 0.8479 | 0.8490
PEB        | 0.8490 | 0.8495 | 0.8479 | 0.8490
PLM        | 0.8490 | 0.8495 | 0.8479 | 0.8490
PMO        | 0.8490 | 0.8495 | 0.8479 | 0.8490

Epoch 24
ABE        | 0.8405 | 0.8408 | 0.8395 | 0.8405
ART        | 0.8405 | 0.8408 | 0.8395 | 0.8405
BAS        | 0.8405 | 0.8408 | 0.8395 | 0.8405
BLA        | 0.8405 | 0.8408 | 0.8395 | 0.8405
EBO        | 0.8405 | 0.8408 | 0.8395 | 0.8405
EOS        | 0.8405 | 0.8408 | 0.8395 | 0.8405
FGC        | 0.8405 | 0.8408 | 0.8395 | 0.8405
HAC        | 0.8405 | 0.8408 | 0.8395 | 0.8405
KSC        | 0.8405 | 0.8408 | 0.8395 | 0.8405
LYI        | 0.8405 | 0.8408 | 0.8395 | 0.8405
LYT        | 0.8405 | 0.8408 | 0.8395 | 0.8405
MMZ        | 0.8405 | 0.8408 | 0.8395 | 0.8405
MON        | 0.8405 | 0.8408 | 0.8395 | 0.8405
MYB        | 0.8405 | 0.8408 | 0.8395 | 0.8405
NGB        | 0.8405 | 0.8408 | 0.8395 | 0.8405
NGS        | 0.8405 | 0.8408 | 0.8395 | 0.8405
NIF        | 0.8405 | 0.8408 | 0.8395 | 0.8405
OTH        | 0.8405 | 0.8408 | 0.8395 | 0.8405
PEB        | 0.8405 | 0.8408 | 0.8395 | 0.8405
PLM        | 0.8405 | 0.8408 | 0.8395 | 0.8405
PMO        | 0.8405 | 0.8408 | 0.8395 | 0.8405

Epoch 25
ABE        | 0.8418 | 0.8414 | 0.8405 | 0.8418
ART        | 0.8418 | 0.8414 | 0.8405 | 0.8418
BAS        | 0.8418 | 0.8414 | 0.8405 | 0.8418
BLA        | 0.8418 | 0.8414 | 0.8405 | 0.8418
EBO        | 0.8418 | 0.8414 | 0.8405 | 0.8418
EOS        | 0.8418 | 0.8414 | 0.8405 | 0.8418
FGC        | 0.8418 | 0.8414 | 0.8405 | 0.8418
HAC        | 0.8418 | 0.8414 | 0.8405 | 0.8418
KSC        | 0.8418 | 0.8414 | 0.8405 | 0.8418
LYI        | 0.8418 | 0.8414 | 0.8405 | 0.8418
LYT        | 0.8418 | 0.8414 | 0.8405 | 0.8418
MMZ        | 0.8418 | 0.8414 | 0.8405 | 0.8418
MON        | 0.8418 | 0.8414 | 0.8405 | 0.8418
MYB        | 0.8418 | 0.8414 | 0.8405 | 0.8418
NGB        | 0.8418 | 0.8414 | 0.8405 | 0.8418
NGS        | 0.8418 | 0.8414 | 0.8405 | 0.8418
NIF        | 0.8418 | 0.8414 | 0.8405 | 0.8418
OTH        | 0.8418 | 0.8414 | 0.8405 | 0.8418
PEB        | 0.8418 | 0.8414 | 0.8405 | 0.8418
PLM        | 0.8418 | 0.8414 | 0.8405 | 0.8418
PMO        | 0.8418 | 0.8414 | 0.8405 | 0.8418

