Class      | Recall  | Precision | F1 Score | Accuracy
-------------------------------------------------------
Epoch 1
MYB        | 0.8559 | 0.8560 | 0.8522 | 0.8559
NGB        | 0.8559 | 0.8560 | 0.8522 | 0.8559
NGS        | 0.8559 | 0.8560 | 0.8522 | 0.8559
NIF        | 0.8559 | 0.8560 | 0.8522 | 0.8559
OTH        | 0.8559 | 0.8560 | 0.8522 | 0.8559
PEB        | 0.8559 | 0.8560 | 0.8522 | 0.8559
PLM        | 0.8559 | 0.8560 | 0.8522 | 0.8559
PMO        | 0.8559 | 0.8560 | 0.8522 | 0.8559

Epoch 6
ABE        | 0.8472 | 0.8527 | 0.8466 | 0.8472
ART        | 0.8472 | 0.8527 | 0.8466 | 0.8472
BAS        | 0.8472 | 0.8527 | 0.8466 | 0.8472
BLA        | 0.8472 | 0.8527 | 0.8466 | 0.8472
EBO        | 0.8472 | 0.8527 | 0.8466 | 0.8472
EOS        | 0.8472 | 0.8527 | 0.8466 | 0.8472
FGC        | 0.8472 | 0.8527 | 0.8466 | 0.8472
HAC        | 0.8472 | 0.8527 | 0.8466 | 0.8472
KSC        | 0.8472 | 0.8527 | 0.8466 | 0.8472
LYI        | 0.8472 | 0.8527 | 0.8466 | 0.8472
LYT        | 0.8472 | 0.8527 | 0.8466 | 0.8472
MMZ        | 0.8472 | 0.8527 | 0.8466 | 0.8472
MON        | 0.8472 | 0.8527 | 0.8466 | 0.8472
MYB        | 0.8472 | 0.8527 | 0.8466 | 0.8472
NGB        | 0.8472 | 0.8527 | 0.8466 | 0.8472
NGS        | 0.8472 | 0.8527 | 0.8466 | 0.8472
NIF        | 0.8472 | 0.8527 | 0.8466 | 0.8472
OTH        | 0.8472 | 0.8527 | 0.8466 | 0.8472
PEB        | 0.8472 | 0.8527 | 0.8466 | 0.8472
PLM        | 0.8472 | 0.8527 | 0.8466 | 0.8472
PMO        | 0.8472 | 0.8527 | 0.8466 | 0.8472

Epoch 7
ABE        | 0.8565 | 0.8574 | 0.8551 | 0.8565
ART        | 0.8565 | 0.8574 | 0.8551 | 0.8565
BAS        | 0.8565 | 0.8574 | 0.8551 | 0.8565
BLA        | 0.8565 | 0.8574 | 0.8551 | 0.8565
EBO        | 0.8565 | 0.8574 | 0.8551 | 0.8565
EOS        | 0.8565 | 0.8574 | 0.8551 | 0.8565
FGC        | 0.8565 | 0.8574 | 0.8551 | 0.8565
HAC        | 0.8565 | 0.8574 | 0.8551 | 0.8565
KSC        | 0.8565 | 0.8574 | 0.8551 | 0.8565
LYI        | 0.8565 | 0.8574 | 0.8551 | 0.8565
LYT        | 0.8565 | 0.8574 | 0.8551 | 0.8565
MMZ        | 0.8565 | 0.8574 | 0.8551 | 0.8565
MON        | 0.8565 | 0.8574 | 0.8551 | 0.8565
MYB        | 0.8565 | 0.8574 | 0.8551 | 0.8565
NGB        | 0.8565 | 0.8574 | 0.8551 | 0.8565
NGS        | 0.8565 | 0.8574 | 0.8551 | 0.8565
NIF        | 0.8565 | 0.8574 | 0.8551 | 0.8565
OTH        | 0.8565 | 0.8574 | 0.8551 | 0.8565
PEB        | 0.8565 | 0.8574 | 0.8551 | 0.8565
PLM        | 0.8565 | 0.8574 | 0.8551 | 0.8565
PMO        | 0.8565 | 0.8574 | 0.8551 | 0.8565

